Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Homame
4102.235,271.874,0
4157.273,362.1296,0
4034.691,394.2836,0
4167.845,348.7036,0
4246.593,266.7368,0
4074.447,305.2046,0
4200.744,316.6357,0
4108.75,239.6847,0
4126.335,383.0649,0
4343.601,301.7861,0
4079.051,266.01,0
4282.289,239.2334,0
4219.375,268.7229,0
4255.354,400.5715,0
4164.845,346.3801,0
4209.75,280.1587,0
4092.896,306.4735,0
3988.456,315.9662,0
3717.25,395.0251,0
4017.99,328.571,0
4209.203,266.0178,0
3937.493,290.2129,0
4113.364,323.0918,0
3904.189,275.3561,0
4094.761,351.1195,0
4154.173,371.0222,0
4051.39,162.6287,0
4254.37,340.9136,0
4006.578,261.7646,0
4171.267,239.9331,0
4220.455,363.1189,0
3872.171,298.2671,0
4045.695,401.9274,0
4354.596,271.5154,0
4217.322,210.6653,0
4196.024,416.4377,0
4146.616,323.8662,0
4207.031,370.1316,0
4113.271,341.3901,0
4166.424,284.6479,0
4151.697,435.7891,0
4093.99,428.9983,0
4130.201,285.1096,0
4078.892,427.2728,0
4183.805,354.8074,0
3910.007,290.0022,0
4073.842,359.1708,0
4650.594,371.9844,0
4147.769,326.988,0
4093.116,322.6788,0
3951.514,321.3313,0
3831.842,278.5769,0
4113.014,271.5135,0
4082.389,326.4888,0
4005.154,289.1572,0
4314.9,304.0469,0
4126.824,346.4524,0
4217.747,304.5322,0
4027.313,336.5961,0
3937.137,289.0905,0
4102.78,360.1638,0
4014.364,235.8212,0
4181.114,392.0916,0
4092.928,335.4911,0
4218.875,230.6128,0
4191.378,279.9453,0
3754.942,288.2064,0
3874.912,318.9071,0
4176.442,358.2356,0
4021.795,279.8972,0
4006.263,332.5615,0
4245.455,359.6445,0
3754.148,324.8381,0
3774.09,278.4052,0
4207.518,290.4758,0
4006.475,283.4078,0
3860.766,170.4856,0
4107.167,363.325,0
4129.953,302.7268,0
4131.273,263.5415,0
4140.83,333.7917,0
4138.979,355.9341,0
4209.941,274.7637,0
4157.879,268.0083,0
3993.074,317.892,0
4343.141,343.146,0
4180.296,312.0945,0
4124.469,230.5703,0
4155.068,290.9624,0
4255.054,354.5435,0
4085.306,276.7931,0
4005.964,321.425,0
4008.908,304.2683,0
4135.78,361.6111,0
4152.358,258.3101,0
3950.643,369.9554,0
4159.677,294.8582,0
3899.233,334.0352,0
4143.854,231.2249,0
4199.395,374.9158,0
4062.476,275.4507,0
4172.474,374.9905,0
4371.833,312.9729,0
4048.659,400.7157,0
4002.545,339.2272,0
4182.378,271.1733,0
4318.932,290.1743,0
4684.621,350.5283,0
3884.892,314.8121,0
4048.929,314.3617,0
4266.447,215.6326,0
4000.428,228.9769,0
4005.318,303.3656,0
4277.694,223.5994,0
4036.613,313.4006,0
3981.673,335.6136,0
4207.186,275.2839,0
4130.031,406.0442,0
4082.752,243.4727,0
3859.289,339.4086,0
4237.917,285.6868,0
4168.927,378.6511,0
3852.886,403.1038,0
3982.157,369.7683,0
4099.261,286.2578,0
4184.792,298.3423,0
4181.6,223.8389,0
4279.533,346.1082,0
4048.712,318.3486,0
4211.177,300.7974,0
4057.423,343.6256,0
4187.833,275.0479,0
4144.575,345.1465,0
4142.531,263.656,0
4129.171,428.0046,0
4147.716,176.2554,0
4096.446,357.3077,0
4269.938,300.3335,0
4220.917,314.8074,0
4160.287,294.3977,0
4136.655,314.8784,0
4125.04,334.2554,0
4076.499,270.1901,0
4128.439,267.2844,0
4151.653,354.1499,0
4628.308,319.1277,0
3901.003,265.1558,0
4025.573,299.2378,0
4403.907,307.877,0
3881.8,261.4663,0
4149.127,255.1262,0
4171.233,247.5491,0
4073.704,267.7778,0
4213.854,252.9417,0
4017.714,371.9064,0
4133.316,264.3647,0
4137.635,261.2656,0
3964.501,257.2478,0
4051.315,392.5852,0
4215.095,329.4836,0
4174.348,321.4839,0
4212.339,363.6465,0
3922.852,282.7135,0
4272.121,327.05,0
4053.837,275.1335,0
4210.351,210.178,0
3854.348,363.3126,0
4127.753,317.2214,0
4161.966,345.4524,0
4241.417,312.8777,0
4200.128,335.9658,0
4239.836,225.105,0
4013.963,394.3215,0
4009.019,268.9603,0
3925.135,366.9459,0
4138.332,320.876,0
4098.34,261.1403,0
3996.968,340.7766,0
4259.013,283.644,0
4056.542,219.39,0
4284.753,307.8411,0
4127.559,311.5684,0
4069.254,285.8556,0
4243.972,287.5181,0
4131.977,407.1802,0
4144.502,195.0088,0
4217.346,314.0066,0
4130.844,230.2216,0
4285.31,262.4746,0
3714.59,313.1556,0
4342.604,250.9927,0
3935.508,259.7526,0
4124.847,340.7065,0
4100.391,408.2532,0
4093.437,402.6991,0
4253.949,341.4019,0
4070.966,380.1769,0
3979.297,411.0795,0
4254.027,248.6348,0
4153.968,274.1997,0
4123.276,361.0649,0
4349.881,305.1216,0
4092.514,256.8046,0
4090.775,369.1071,0
4249.71,315.5125,0
4022.074,354.4209,0
4176.988,279.9651,0
4193.074,215.1626,0
4099.875,315.4528,0
4269.81,248.4863,0
4146.354,299.9189,0
4132.37,375.6812,0
3957.542,368.6506,0
4039.455,366.1929,0
4318.163,355.6228,0
3929.279,338.4116,0
4096.981,321.2046,0
3821.525,408.8315,0
3894.297,321.9764,0
4179.59,274.1995,0
4129.274,358.356,0
3975.199,278.006,0
4166.789,316.5405,0
4067.375,328.5667,0
